DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,0,54571,1,0,11.4375,8.9125,14.475,1,1
0,0,182265,0,0,9.9375,8.275,11.7625,1,2
1,0,27457,0,1,12.85,10.25,15.9,1,3
0,0,22915,0,0,10.9375,8.4875,13.9375,1,4
0,0,57322,0,0,11.025,8.4125,14.075,1,5
1,1,10914,0,1,14.7,11.4,18.75,1,6
1,0,20947,0,1,14.1875,11.425,17.425,1,7
1,0,118572,1,1,12.7,10.7125,14.9375,1,8
1,0,34215,0,1,14.525,11.675,17.925,1,9
1,0,25989,0,0,12.5375,9.4625,16.3,1,10
0,0,43643,0,0,10.6375,8.2125,13.55,1,11
1,0,13859,0,0,14.375,11.675,17.3875,1,12
1,1,25833,0,1,13.3125,10.7,16.4125,1,13
1,0,13932,0,1,12.5875,9.675,16.0625,1,14
0,0,14972,0,1,11.0375,8.2375,14.4875,1,15
1,0,49948,0,0,11.6,9.25,14.3875,1,16
1,0,54428,1,0,13.0125,10.5375,15.9125,1,17
1,1,13228,0,1,14.775,11.6875,18.375,1,18
1,0,11539,0,0,13.5875,10.5125,17.2125,1,19
1,0,37765,0,0,12.525,9.85,15.7125,1,20
1,0,13906,0,0,12.825,9.95,16.2375,1,21
0,0,80406,0,0,11.2875,8.7375,14.325,1,22
1,0,50251,0,0,12.7375,10.15,15.8125,1,23
1,0,43820,0,1,14.7625,12.375,17.45,1,24
0,0,71109,0,1,11.025,8.575,13.875,1,25
0,0,79303,0,0,10.6375,8.4125,13.275,1,26
1,0,38319,0,1,12.0125,9.6875,14.75,1,27
0,0,104430,1,1,11.5875,9.6,13.8875,1,28
1,0,17241,0,1,13.0375,10.15,16.525,1,29
1,0,31704,0,1,11.6125,8.95,14.825,1,30
1,0,26790,0,1,12.025,9.325,15.275,1,31
1,1,9045,0,1,16.7875,13.2875,20.8,1,32
1,0,15760,0,1,13.9875,11.225,17.2625,1,33
1,0,17302,0,1,12.975,10.2375,16.1875,1,34
0,0,101547,1,0,11.575,9.5875,13.8625,1,35
1,0,53227,0,0,11.7875,9.1,14.975,1,36
0,0,658466,1,0,11.4125,10.1875,12.7375,1,37
1,0,14564,0,1,11.8875,9.075,15.2625,1,38
0,0,92709,1,0,11.45,9.3875,13.8,1,39
1,0,34339,0,0,12.725,9.85,16.225,1,40
0,0,140247,1,1,9.2125,7.3,11.4375,1,41
0,0,82782,0,1,9.8375,7.5625,12.525,1,42
1,1,11299,0,1,16.55,13.25,20.4625,1,43
1,0,21452,1,1,15.3875,12.25,19.175,1,44
0,0,334811,1,0,10.8125,9.1875,12.6,1,45
1,1,21027,0,1,14.8875,12.3875,17.825,1,46
1,0,30776,0,0,11.725,9.1125,14.85,1,47
0,0,93019,0,1,11.2875,8.875,14.1375,1,48
0,0,412992,1,1,11.2125,9.9,12.65,1,49
1,1,23068,0,1,13.2375,10.5375,16.4125,1,50
1,0,229363,1,0,12.525,10.7125,14.5375,1,51
0,0,119490,1,0,10.825,8.5625,13.5,1,52
1,0,10591,0,1,16.25,12.9375,20.125,1,53
1,0,19746,0,1,14.175,11.35,17.5125,1,54
1,0,32899,0,1,12.6125,10.0125,15.625,1,55
1,0,22913,0,1,12.3875,9.7125,15.55,1,56
1,0,52947,1,1,12.75,10.125,15.85,1,57
0,0,195085,1,0,7.8,6.325,9.4875,1,58
0,0,83593,0,0,11.4,8.9875,14.1875,1,59
1,0,13763,0,1,15.45,12.4375,19.0625,1,60
1,0,82291,0,1,12.675,10.4875,15.15,1,61
1,0,41616,0,1,12.8875,10.4125,15.8125,1,62
0,0,194656,1,0,10.0875,8.6125,11.675,1,63
1,0,67023,0,1,12.7375,10.375,15.4125,1,64
1,0,17581,0,1,12.4875,9.7375,15.7875,1,65
1,1,11670,0,1,15.875,12.6375,19.6375,1,66
0,0,24484,0,1,10.8,8.1,13.975,1,67
0,1,3141,0,1,5.65,3.775,8.125,2,68
0,1,5561,0,1,5.475,3.7625,7.6625,2,69
0,0,291826,1,0,6.2,5.175,7.3375,2,70
0,1,17013,0,1,5.6,4.1125,7.375,2,71
0,0,997,0,0,6.925,4.55,9.925,2,72
0,0,1826,0,0,5.6125,3.6875,8.025,2,73
0,1,4847,0,1,7.2125,5.1375,9.8625,2,74
0,0,97581,1,0,5.15,4.2625,6.125,2,75
